Citation Key/ Filename;GENERAL;;RQ1-DEFINITION;RQ2-DIGITAL TWIN ADVANTAGES;RQ2-APPLICATION DOMAINS;RQ2-APPLICATION SCENARIO;RQ3-PHYSICAL TWINS;;;RQ3-COMMUNICATION MANAGEMENT;;;RQ3-VIRTUAL TWIN AND APPLICATION;;;;RQ4-CHALLENGES & FUTURE RESEARCH;
Trneberg2021;HIGH;"In this paper, we propose and prototype a cloud-native digital twin proof of concept
for evaluating the viability of the concept.";"In the Industry 4.0 context, a Digital Twin (DT) can be
a virtual representation of anything from a component in a
production plant, to a product being assembled/manufactured,
to the entire production system.";"DTs will also be able to augment the physical plant or Physcial Twin (PT),
in terms of computational capacity, analytics, and security.
Relegating that functionality to the DT will allow us to minimize what is at the plant and enable dynamic updates
of software, practices, and policies on scalable cloud-native platforms.";Industry 4.0;Intrusion detection;Cloud;"CPS (representation of anything from a component in a
production plant, to a product being assembled/manufactured,
to the entire production system)";N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;Protocol Buffers (Protobuf), ;N/A;Detection, model, analysis;we implement and evaluate a cloud-native DT Proof of concept (PoC) platform.;YES;"In the future, we will extend our threat model to also cover alternative
attacks, but here we limit our analysis to attacks on a.";N/A
U.Khan2021;LOW;"we present the key design requirements for enabling 6G through
the use of a digital twin. Next, the architectural components
and trends such as edge-based twins, cloud-based-twins, and
edge-cloud-based twins are presented. Furthermore, we provide
a comparative description of various twins. Finally, we outline
and recommend guidelines for several future research directions.";"A digital twin is a virtual representation of the elements
and dynamics of a physical system";"Meanwhile, an operational twin enables system operators to interact with a cyber-physical
system and perform different actions in addition to analysis and system design; to efficiently operate 6G, the digital twin will use machine
learning and optimization algorithms for communication and computing resource optimization.";6G;analyze the system dynamics, simulation;cloud, edge;6G physical system;data generated by IoE devices;DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;N/A;N/A;ML, analysis, simulation;"the digital twin will use a virtual representation of the 6G physical system
along with communication, computing, security, and privacy
technologies to enable 6G-based IoE applications.";YES;FUTURE DIRECTIONS: Isolation Between Twins-Based Services, Mobility Management for Edge-Based Twins, Digital Twin Forensics;The main challenges that will be involved in digital-twin-enabled 6G forensic are attacks evidence identification, evidence acquisition and preservation and evidence presentation. Next, preserving the evidence for investigation in cases of limited memory devices.
Ugarte2020;LOW;"This paper analyses the use of the digital
twin to enable a DevOps approach of cyber physical production systems
(CPPS) in order to create a fully integrated and automated production
process, enabling continuous improvement.";"From the author’s perspective on product
manufacturing, the digital twin is the virtual representation of the physical
asset where both counterparts are connected to each other and are dynamically
updating through the whole product life cycle";"The digital twin technology enables DevOps to develop and test the product simultaneously, reducing development costs and time to market. Moreover, the bridge between development and operations guarantees the continuous
improvement in an agile environment.";CPPS;Simulation and Testing;N/A;CPPS;"real-time data
about the physical system and provide guidance in real-time.";DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulate, model, ;"introduce the digital twin as a DevOps accelerator where it stages a DevOps approach throughout the whole
product life cycle.";NO;N/A;One of the main challenges is the lack of standards for digital representation.
Veledar2019;MEDIUM;"IoT4CPS, a flagship Austrian project, contributes to improvements in required dependability. This paper considers IoT4CPSs core use case: AD. It demonstrates main concepts of resilient IoT solutions integrated with CPSs, in-
cluding Digital Twin technology that is directly associated with cybersecurity
and privacy capabilities of automotive ecosystem.";The Digital Twin is a virtual counterpart to actual physical devices (entities);"The Digital Twin-based penetration tests could enable relevant tests virtually (instead of on real system), during both the operation phase and during engineering phase to fix vulnerabilities early in
the CPS lifecycle; opens new paths to enhance IoT and CPS security and safety";Automotive;Security and Safety Validation, Monitoring;Cloud, edge;smart car;real-time sensor data measurements and collections, historical data and ML analytics models);DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulate, prediction, monitoring, ML, analysis;"Digital Twin demands technologies and methods
to be effectively combined e.g. Artificial Intelligence (AI), real-time predictive
analyses, and forecasting algorithms using Big Data derived from the IoT sensors
and historical data.";NO;N/A;N/A
Wu2020;LOW;The aim of this study is to carry out a systematic literature review (SLR) to analyze the current research activities on CPPSs according to their contributions to the engineering life cycle of such production system.;N/A;"Digital twins cover all life cycle activities and processes from
design, production, utilization to service [121]. Therefore, a
specific digital twin application can be assigned to multiple
purposes";Industry 4.0 / CPPS;simulation, anomalies monitoring, and prediction;N/A;CPS/CPPS;"physical-to-cyber data exchange and
cyber-to-physical data exchange";DIGITAL_PHYSICAL;DIGITAL_TWIN;OPC-UA, MQTT, AML;N/A;simulation, monitoring, prediction;N/A;NO;"Therefore, in future work, a way has to be found for the collaborative and
consistent description of needs between different stakeholders,
as well as their validation and evolution. Therefore, the future research focus is to connect the dots
between the existing isolated technologies as they are not consistently
aggregated, which requires a multidisciplinary system
integration that across lifecycle phases. But what useful data fromCPPSs can be integrated effectively
into EIS has not been addressed and need to be investigated in
future work. One future direction concerning
the branch of the additional information in the concept map
is to investigate how to extract additional information to
improve the EISs in terms of business processes and its evolution. This level covers all three dimensions of integration.
Concerning the branch of decision making in the concept
map, one future direction of the organizational integration is
to figure out how to decentralize part of the decisions that are
currently made in the EISs field to CPPSs’ components (such
as smart machines and smart products).";N/A
Xinxin2019;HIGH;"Whereas in this paper, we propose to do a functionality and
cybersecurity analysis based on the digital twin of an ICS (Industrial Control System).";Digital Twin (DT) is a technology to model assets with all their geometrical data, kinematic functionality and logical behaviour using digital tools [Fr18]. All the useful information that relates with the physical system will be virtualized in the DT model.;"predication of potential hazards or security vulnerabilities can be somehow
automated and easier ported.";Industry 4.0;safety and cybersecurity analysis;N/A;power plants, ICS;current data, the historical data and events&alarms;DIGITAL_PHYSICAL;N/A;AML (CAEX), PLCopen XML, COLLADA, OPC UA;Refueling Machine;simulation, analysis,  ;"model the system based on a FS, as it able to selectively abstract key
parts of the functionality of a real world system. AML will be used to model the system with high detail";NO;"The AML and the OPC UA are proposed to create the highly detailed model. The reason we
use the AML and OPC UA, and the feasibility are represented. As for the specific
modeling tool, this will be investigated in future.";N/A
Xu2020ab;HIGH;"This paper considers a stealthy estimation attack, which aims to modify the
state estimation of the CPSs. The intelligent attackers can learn
defense strategies and use clandestine attack strategies to avoid
detection. To address the issue, we design a Chi-square detector
in a Digital Twin (DT), which is an online digital model of the physical system.";"a Digital Twin (DT), which is an online digital model of the
physical system.";Provides essential resources and environments for detecting sophisticated attacks;CPS;Secure Estimation and Control for Cyber-Physical Systems;cloud, supercomputer;CPS;sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Monitoring, Simulation, Detection;"we aim to design an advanced detector based on
a Digital Twin";YES;N/A;N/A
Xu2021;HIGH;"We present a novel approach called Anomaly deTection with digiTAl twIN (ATTAIN), which continuously and
automatically builds a digital twin with live data obtained from a CPS for anomaly detection.";"a digital replica of a living or non-living physical entity / a digital twin consists of two parts,
i.e., digital twin model and digital twin capability. The digital
twin model refers to the digital representation of the CPS."; application of machine learning algorithms for anomaly detection;CPS;Anomaly Detection;N/A;CPS;"historical data and fine-tune it with
real-time data, which simulates the CPS; sensor and actuator values";DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;N/A;"evaluate ATTAIN with three CPS case studies, namely
Secure Water Treatment (SWaT) [7], Water Distribution
(WADI) [8], and Battle Of The Attack Detection Algorithms; Generative Adversarial Network
(GAN)
(BATADAL) (testbeds)";Simulation, Detection, Machine Learing, OTALA algorithm;"We use a Generative Adversarial Network
(GAN) to implement the ATTAIN digital twin capability,
which can be trained on labeled historical data and unlabeled
real-time data with the digital twin model’s ground truth label.";YES;"In future work, we plan to conduct more experiments on
real-world CPS of various domains to evaluate the scalability
and generalization of ATTAIN. We will also consider exploring
digital twins for more challenging tasks, such as detecting
attacks targeting multiple CPS at the same time, which requires
developing an integrated digital twin model. We also want
to investigate how digital twins can be extended to provide
additional advanced analyses during the operation of CPS such
as predicting uncertainties and non-functional properties.";N/A
Zhu2020a;MEDIUM;"This book presents control and game-theoretic tools to design secure and resilient
cyber-physical systems, including cloud-enabled control systems, 3D printers,
robotic systems, and communication-based train control (CBTC) systems.";"A DT could be a virtual prototype of a
CPS, reflecting partial or entire physical processes";"The development of Digital Twin (DT) provides essential resources and environments
for detecting sophisticated attacks. A DT could be a virtual prototype of a
CPS, reflecting partial or entire physical processes";Smart Cities;Fault detection, detecting sophisticated attacks, monitor;cloud, supercomputer;CPS;sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Simulation, Monitoring, Detection, Kalman Filter, Analysis;"we design a Chi-square detector, running in a
DT. The DT connects to a group of protected sensing devices, collecting relevant
evidence.";YES;N/A;N/A
Akbarian2021;HIGH;Therefore, in this paper, we propose a digital twin-based security framework for ICS that consists of two parts: attack detection and attack mitigation. In this framework we deploy an intrusion detection system in digital domain that can detect attacks in a timely manner. Then, using our mitigation method, we keep the system stable with acceptable performance during the attack. Additionally, we implement our framework on a real testbed and evaluate its capability by subjecting it to a set of attacks. ;With digital twins, we have virtual replicas of physical systems so that they precisely mirror the internal behavior of the physical systems;Digital twin is a rather new concept associated with ICS, and it opens up new possibilities in terms of monitoring, simulating, optimizing and predicting the state of the systems. As the digital twin is deployed in the cloud, an intrusion detection system in the digital domain (cloud) can include methods that require much more computing resources than if deployed in the real system;Industry;Intrusion Detection, Attack Migitation;Cloud, edge;ICS (Intrusion Control System);Sensor data (measurement signals measured by sensors);DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;Kubernetes (K8S);Detection, Monitoring, Simulation, Kalman Filter;N/A;YES;N/A;N/A
Cathey2021;HIGH;In this paper, we propose a novel approach of data security by using multiple device shadows (aka digital twins) for a single physical object.;Digital twins, or device shadows, are the virtual counterpart to physical objects which introduce a layer of abstraction between higher level control of devices and device specific actuation and sensing methods. ;These shadows can be used to facilitate separation between the object and cloud services layer (detailed in the background section), as well as enabling separation of IoT data into subsets. Digital twins also lead to more consistent interaction between higher level layers and physical devices. ;Smart vehicles, Smart manufacturing;Access control, data security;Edge;Smart car;Sensor data, multiple state data such as user settings, manufacturer configuration, and operational status;DIGITAL_PHYSICAL;DIGITAL_SHADOW;JSON, MQTT;Python, Mosquitto, Amazon Web Services (AWS);N/A;Virtual objects can hold the entire data set generated by their physical object, or subsets of that data. The virtual object layer in E- ACO architecture can have one or many cyber entities (virtual object or digital twins) for both clustered and individual objects. These twins can be created in the cloud layer, or local edge layer to support real time communication. ;YES;We envision further exploration regarding access control on the tagged shadows, and the application of this data distribution to other smart environments. ;N/A
Choi2021;MEDIUM;In this paper, we introduce a vendor-agnostic analytics framework which allows security researchers to analyze attacks against ICS systems, even if the researchers have zero control automation domain knowledge or are faced with a myriad of heterogenous ICS systems. ;N/A;N/A;Industry;Penetration Test, Intrusion Detection;N/A;ICS (Intrusion Control System);Sensor data, actuator data;DIGITAL_EXPERT, DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;Ettercap, Wireshark, Kdiff3, pfSense;analysis, simulation, monitoring;The test digital twin system comprises of an HMI, two PLCs, two network switches, and a firewall – representative components in most ICS scenarios.;YES;For future work, we will continue to conduct further re- search on the countermeasures proposed earlier in this paper. Based on the data produced by our framework, future research on preventative measures would be feasible and aligns well to the ultimate goal of our framework. As an extension of our approach, we will conduct further experiments of our framework on an ICS with a fake PLC or add meaningless data fields to experiment control data integrity and resiliency. ;N/A
Chukkapalli2021a;HIGH;Therefore, this paper describes a security surveillance framework to detect deviations in the ecosystem by incorporating a digital twin supported anomaly detection model.;Fundamentally, digital twins are defined as a virtual copy of the physical sensors that connects both the physical and virtual entity.;"The reason for incorporating digital twins is that they add value by enabling real-time monitoring of connected smart farms. 
Moreover, digital twins aid in surveillance and controlling the physical entity there by improving operational efficiency, productivity, etc.";Smart Farm;detect anomalies/deviations, detect attacks;N/A;CPS;real-time sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;SPARQL Protocol;Microsoft Azure, RDF Query Language;Detection, Simulation, Monitoring;N/A;YES;In the future, we plan to extend our work by applying other anomaly detection models on more extensive smart farm data. We would also like to analyze more real-time anomalous use case scenarios in the smart farming ecosystem while fully utilizing the benefits of the digital twin. ;N/A
Colabianchi2021;LOW;The scope of this paper is to survey available literature for understanding to which extent CPSs contribute to system resilience, and to synthetize the approaches developed in this domain.;A Digital Twin is a software-based replica of the real CPS;"would perfectly monitor the current state of the system; Digital Twin using the legacy communication techniques found in the SCADA and wide-area monitoring systems can access real-time data and provide useful feedback. 
";Microgrid, Canal Lock;detect and anticipate abnormal situations, offer rapid recovery and adapt the response behaviour of the situation;N/A;CPS;real-time data ;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Monitoring, Simulation, Replication;N/A;NO;"In this context, future studies should encompass a greater use of system modelling and simulation, digital twin, graph theory, and system dynamics. 
In particular, this review makes emerge that the use of Digital Twin is still not very diffuse, if compared to their widespread usage in other industrial settings. Future studies can take Digital Twin into consideration to monitor CPSs and evaluate possible intervention strategies. ";N/A
Danilczyk2021;HIGH;In this paper, we propose using a deep learning (DL) convolutional neural network (CNN) as a module within the Automatic Network Guardian for ELectrical systems (ANGEL) Digital Twin environment to detect physical faults in a power system. ;N/A;Digital Twin technology is widely used in many industries, such as automotive and aerospace, to provide greater insight to a deployed system. A wide sensor array is used to continuously monitor the physical system and compared with a physics-based simulation model to provide greater understanding to the operating state or condition of the physical system. ;Smart Grid;detect anomalies/faults;N/A;CPS;Sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Machine Learning, Detection, Deep Learning;The presented approach uses high fidelity measurement data from the IEEE 9-bus and IEEE 39-bus benchmark power systems;YES;In future work, this system can be expanded to larger power systems and to include failures to other features of the power system such as transmission line faults or degradation to the synchronous machines. Lastly, the author would like to expand this work to include attack vectors outside of just the physical domain but to also include cyber-physical attacks on the power grid as well. By spanning both the cyber and physical layers of the smart electric grid, this work could significantly improve the resiliency of the future power grid. ;N/A
Dietz2021a;HIGH;If a system has suffered a serious incident, it must be forensically investigated. Our approach shows how such an analysis can be performed using a replication-based digital twin;It can be regarded as a virtual representation of a physical object along its lifecycle;However, the twin usually contains other asset-relevant data such as specification data. Enhance with semantics, this data can serve various analyses, optimizations and simulations performed in the digital twin. This broad spectrum of digital twin characteristics may serve for security purposes, especially in the are of digital forensics.;Industry 4.0 / CPPS;Forensic investigation/analysis;N/A;ICS;"External data: network traffic, sensor data; internal data: program code, commands";DIGITAL_PHYSICAL, DIGITAL_EXPERT;DIGITAL_TWIN;TCP/IP;OpenPLC, VirtualBox;Replication;We build a digital twin based on a Unix system running OpenPLC with a real-world programmable logic controller (PLC)-software. We assume that both systems have the exact operating system, uses OpenPLC and interactions are exclusively communicated via TCP/IP traffic.;YES;In future work, we plan to extend our concept to systematically record and extract vendor-specific evidences for specific PLC software and firmware.;N/A
Farnell2021;MEDIUM;This paper proposes a method that further secures a system by focusing on the control and hardware layer of grid-connected devices ;"describes how the concept of a Digital Twin consists of multiple levels, where each level is an advancement in model accuracy and features. Any implementation or method that can be defined as one of these levels is considered a Digital Twin. In the topic of cybersecurity for grid-connected devices, Digital Twins are Real-Time simulations of these devices that are used to study their performance during various cyber-attack scenarios. 
";N/A;Power grid;Attack detection, mitigation, real-time evaluation;Embedded;Grid-connected device;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;LabVIEW;Detection;N/A;YES;In the future, additional verification and mitigation methods will be developed and integrated into to the proposed cybersecurity framework and architecture. ;N/A
Fraser2021;HIGH;In this paper the general susceptibilities of Unmanned Aerial Vehicles (UAVs) against modern-cyber threats are explored and potential solutions proposed. ;N/A;Digital-twin architectures enable development of high-fidelity models for real systems using vast quantities of operational data and expert insights ;Unmanned Aerial Systems (UAS);detection of real-time intrusions and anomalies ;N/A;Unmanned Aerial Vehicles (UAVs) ;historic data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Detection, Monitoring, Machine Learning;Each digital-twin will contain multiple behaviour and novelty detection models trained on historic flight data from the expected environment. A model is produced for each major sub-system, which represents the expected sub-system behaviour and characteristics under normal flight conditions ;YES;Therefore, further studies into state-of-the-art models for UAV data could prove valuable for future research. Additionally, future work could develop the concepts from this paper into physical prototypes and collections of behaviour models trained from historic flight data. These could be developed into novelty detection models for each sub-system, as performed for the GPS sub-system in this paper. These models could be tested during real flight trials and simulated UAV attacks, and the results used to further validate the proposed system. ;N/A
Gupta2021b;MEDIUM;in this paper, we introduce a hierarchical FL that allows aggregation at different levels enabling multi- party collaboration. We introduce a novel disease-based grouping mechanism where different AD models are grouped based on specific types of diseases. ;N/A;In the healthcare domain, a DT provides an accurate real-time status of the patient and also enables health practitioners to provide specific services and test an optimal solution for improving the health of patients. Furthermore, DT allows to enhance security of the IoT integrated smart healthcare ecosystem. ;Smart Healthcare;Detect anomalies;Edge;Internet of Medical Things (IoMT) devices;Sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Detection, Monitoring, Federal Learning;In this research, we design FL based AD model and deploy this model on edge cloudlet associated with the patient’s DT. ;YES;Our future work entails data collection and full fledged implementation of our approach along with its performance evaluation. We also plan to demonstrate practical examples of how our proposed approach addresses the limitations of centralized AD. We further plan to evaluate detailed metrics including detection accuracy, false positive rate, recall, F1 score, training time and communication cost of our proposed model.;N/A
Hatzivasilis2021;LOW;This paper presents the cyber ranges platform THREAT-ARREST. Its design is fully model-driven and offers all modern training features (i.e. emulation, simulation, serious games, and fabricated data). ;N/A;N/A;Smart Energy, Intelligent Transportation, Smart Healthcare;realistic simulation of cyber-attacks in a mirror system of a real network with a security operations center ;N/A;N/A;Simulated and evaluated data (temperature value, representing a sensor of a smart home);DIGITAL_EXPERT, DIGITAL_PHYSICAL;N/A;N/A;N/A;Simulation, Monitoring;N/A;YES;Future work includes extending end user validation of platform capabilities with organizations of different domains (energy, healthcare, smart shipping), extending platform integration and federation with other Cyber Ranges both on a technical level scenario interoperation and on a conceptual (capability, taxonomy) level to further expand and align with end user needs of training. ;N/A
Holmes2021;HIGH;In this paper we explore risks relating to the cyber-security of systems employing digital twin technology and also consider the opportunities for digital twins themselves to mitigate cyber-security risks and become an integral part of a security in-depth defence. ;Broadly stated, a DT is a digitally determined model that unique depicts a physical instance, process, service, system, biologic or like abstraction. Gartner takes a broader view and defines a DT as a ’digital representation of a real- world entity or system’. Grieves is credited for coining the term to describe a digital informational construct based upon a physical system but created as an separate entity, where the digital construct should ideally be endowed with all informational assets as those found on the physical entity. Kitzinger et al. describe a DT as a concept that is capable of being further sub-divided into variants based upon their integration status, the particular area of focus and the technology employed.;The concept of a digital twin allows for the analysis, design, optimisation and evolution of systems to take place fully digital, or in conjunction with a cyber-physical system to improve speed, accuracy and efficiency when compared to traditional engineering approaches. Digital twins continue to be a technology that enables new paradigms, such as Industry 4.0 and Factories of the Future as well as generating improved efficiencies within existing systems.;Industry 4.0;solution for a trusted internet of things;N/A;IoT Devices, CPS;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Prediction, Analysis, Emulation, Monitoring;N/A;NO;"To achieve the full benefits of DTs further research is needed to make the implementation of complex systems through a DT approach feasible and economical. 
";"We consider the main challenge to be the creation of DTs without increasing the cybersecurity risks for the real system. The answer lies in the technologies that help to create the realism of the physical systems without revealing the security-sensitive components, data and interactions. Existing technologies in the areas of deception and privacy-enhancing techniques may provide a good starting point, but may not be sufficient to provide a solution to the issue. 
"
Hossen2021;MEDIUM;This paper demonstrates how the inverter’s normal operating region and dynamic model are formed. ;N/A;A digital twin can identify any anomaly caused by new setpoints before the setpoints get engaged to a physical device, e.g., a smart inverter. ;Power grid;Self-security;N/A;Smart Inverters, cyber-physical devices;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Detection;The digital twin is formed using the inverter’s normal operating region and the inverter’s dynamic model. Then, the incoming setpoints are autonomously examined using the digital twin, and only the safe setpoints are engaged to the inverter’s local controller. ;NO;N/A;N/A
Jakovlev2021;HIGH;This paper aims to analyze the operations performed at the container terminal and to propose a new digital twin (DT)-based framework increasing the level of safety and security. ;N/A;The benefit of using an AI-enriched IDT model is that parallel steps can be made to compare the simulated and observed real-world system state to update the model parameters to match the real behavior of the individual physical entity – for each cargo inside a transported container.;Logistics 4.0, Industrial Internet of Things;Attack detection;Cloud, edge;Intelligent Shipping Container, CPS;Sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;TCP/IP,  LoRaWAN, MQTT, AMQP;gRPC;Simualtion, analysis;N/A;YES;Nevertheless, there are a lot of quantitative and qualitative studies that need to be conducted in the future, in areas of data processing with uncertainties, matching IDTs components in highly dynamic cloud-fog-edge computing environments. ;However, the limitations of the proposed IDT solution lie in the dimensionality of the dynamics of the system and the processes. Each newly introduced dynamic range has multiple associated attributes, including the time, the place, and the range of influence. Different dimensions supply the IDT with different control mechanisms and AI logic, which cannot be fully approximated in due time. Edge computing solutions must adapt to work in a real-time environment, decreasing the accuracy of the estimation transformed it into a wide and unpredicted range of impacts on the containers handling procedures. 
Krishnan2021;MEDIUM;In this study, we propose a software-defined framework that improves network intrusion detection systems by using manufacturer usage description (MUD) to enhance the behavioral monitoring in IoT networks. ;Digital Twin is a new paradigm for integrating physical- based models and data-driven models with virtual representation, performing predictive analytics and What-if analysis by using AI/ML and continuously updating a real system in the operation of the existing model. A network digital twin is a software simulation of an entire physical network, devices, and applications. ;It includes the capabilities to collect, report, and visualize the result of the proposed flow rules and MUD profiles from the manufacturer under various operating conditions, including when exposed to cyberattacks;Industrial Internet of Things, Industry 4.0;"improve the security of Industrial IoT environments
";Edge;Industrial internet of things devices, CPS;Manufacturer usage description;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Detection, Simulation, Analysis, Monitoring;N/A;YES;In future work, we plan to design a hybrid IoT security gateway for integrating IIoT, a smart behavioral filter, and data sets for diverse applications of IoT, including wireless sensory networks and traditional Industrial control systems (e.g., MUD profiles for SCADA-based PLC policies). Diving more into the realm of deep learning with graphs is an emerging field, and we plan to perform network topology graph validations on more robust feature vectors encoded on the graph. ;N/A
Kutzler2021;MEDIUM;This paper describes the process model developed in the AUTOSEC research project, which was employed to derive actions and security mechanisms that boost IT security and fend off cyberattacks on IT-systems.;N/A;N/A;Industry 4.0 / CPS;detect and address potential threats;N/A;CPS, critical infrastructure;Sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Detection, Simulation, Monitoring;N/A;YES;This will provide opportunities for further research studies and implementation projects. The focus here is on adapting the security of cyber-physical systems and the logistical systems and infrastructures in which they are employed. This will improve adaptation to the changing threat situations in order to maintain or even to improve security and resilience continuously. ;N/A
Maher2018;LOW;We discuss a high-level model for software applications and services that can support a minimal set of human-centric trust management capabilities. We outline the unique set of challenges we must address if we are to attain a level of trust that will be required for a robust deployment of an IoT. We discuss the role of standards and how we can maximize the effectiveness of standards and device and service certification. We suggest a set of solutions for trust management that can support the unique security, safety, and privacy requirements of a robust IoT ;a virtual digital copy stored in the cloud or at a service point;and we can make the direct to device interaction model even simpler by using the “digital twin” concept whereby many interactions with the IoT device can be performed via an interaction with a virtual digital copy stored in the cloud or at a service point accessible to both the cloud and the device (gateway). The twin can then serve as a distinguished entity with a distinguished security association. ;Internet of Things;Monitoring of the system;Cloud;IoT devices;N/A;DIGITAL_PHYSICAL, DIGITAL_EXPERT;DIGITAL_TWIN;N/A;N/A;Monitor;N/A;NO;The concept of a universally accessible trust management oriented assertion blockchain that is subject to explicit governance will be controversial and a challenge to properly implement, but it seems so potentially comprehensive and adaptable that we will continue to better define and implement this approach. ;N/A
Marksteiner2021;MEDIUM;This paper therefore presents a methodology to create and execute cybersecurity test cases on the fly in a black box setting by using pattern matching-based binary analysis and translation mechanisms to formal attack description as well as model-checking techniques.;A Digital Twin (DT) produces a virtual model of a physical object as a digital representation with the purpose of simulating them before construction to fa­cilitate predictive maintenance.;N/A;Automotive;Cybersecurity testing;N/A;Vehicular components;Sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;JSON, HTTPS;Domain specific language (DSL), Kali Linux, Python, Flask;analysis, simulation;The firmware of the SUT is automatically transformed into a corresponding cyber digital twin to be used for cybersecurity analysis;NO;Future work includes, apart from implementation tasks, mainly methodologies for advanced case generation out of the derived attack descriptions, as well as method to automating code transfer between SUTs(e.g. address estimation for exploits).;N/A
Patel2021;HIGH;This paper considers the problem of cyber attacks onto industrial plants and proposes to use a digital twin to detect and localize such attacks. ;N/A;pure state monitoring and diagnosis computations to predictions of the future behavior and mathematical optimizations to minimize resource utilization and production costs ;Industry;Anomaly detection and condition monitoring;N/A;Industrial plant;Sensor data, actuator data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;SIMIT;Monitor, Simulation, Replication;N/A;YES;"Scientifically there is still a lot of potential how to further exploit the existence of a physics-based, scalable behavior model – in particular the knowledge about the system dynamics contained in the model equations. E.g. it can be investigated how attacks on the plant can be distinguished from pure malfunctions, which have a different dynamic signature. A further example is the assessment of the most appropriate counter measures to preserve safe plant operation or at least securely shut down the parts of the plants under attack. 

";The current method fails to manage some practical issues, which must be looked at more closely in future development. Firstly, there is no cyclic state update from the real process, as this communication channel would have to be secured against any manipulation to not compromise the digital twin itself. This is fine if only batch processes, like in the example plant, are considered, where initial conditions can be reset for each batch. Secondly, the scalability of the root cause analysis is currently only guaranteed for the signal dependencies in the field and process level, as the simulation model is based on a type- instance concept. The analysis of the PLC code is currently not systematized. Thirdly, it must be evaluated how the whole approach can still work under a manipulation of the digital twin itself or how the twin can be secured against attacks. 
Sabeur2021;MEDIUM;In this paper, a cyber behavior detection module, which identifies unusualness in cyber traffic networks is described. Also, a physical behaviour detection module is introduced. ;N/A;The deployment of digital twins will lead to understanding real-time situation awareness and risks of potential physical and/or cyber-attacks on urban critical infrastructure specifically. ;Smart urban spaces;Malicious attack detection;Edge;IoT Devices;Sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Detection, Machine Learning;"the DECIoT Digital Twin which builds upon a collection of open source micro-services that span from the edge of the physical plane 
The SoS connects to the urban smart spaces physical IoT with all the relevant sensing networks; operational legacy systems and critical infrastructure information and communication networks. The generated data streams are ingested by the DEC_IoT twin and aggregated intelligently on the edge for further diagnosis by MAIDS twin through a message broker middleware.";YES;As for the physical behaviour detection module within MAIDS, we will exploit our described approach to investigate on the measurement and prediction of behaviour propagation in urban smart environment.;N/A
Semenkov2021;HIGH;This paper considers the problem of the development and application of a digital twin to assess cyberphysical systems. ;"a dynamic virtual representation of a physical object or system, usually across multiple stages of its lifecycle. It uses real-world data, simulation or machine learning models, combined with data analysis, to enable understanding, learning, and reasoning. Digital twins can be used to answer what-if questions and should be able to present the insights in an intuitive way. 

a digital twin is a formal digital representation of some asset, process or system that captures attributes and behaviors of that entity suitable for communication, storage, interpretation or processing within a certain context 

A digital twin is a virtual representation of a device or a group of devices that resides on a cloud or edge node. It can be used to represent real-world devices which may not be continuously online, or to run simulations of new applications and services, before they get deployed to the real devices";"The main advantages are the precise reproduction of time dynamics and interaction, the behavior of auxiliary devices, and network topology 
";Industry 4.0;"Sensing and Actuation; Monitoring; Supervision and Control; Manufacturing Operations and Control
";Cloud;CPS, nuclear power plant;N/A;DIGITAL_PHYSICAL, DIGITAL_EXPERT;DIGITAL_TWIN;N/A;N/A;Simulation, Monitoring;N/A;YES;We plan to continue working with the digital twin at other stages of the ULCS lifecycle. The main focus will be on im- proving the synchronization mechanisms of the digital twin and the real system, increasing the accuracy of the models, first of all, in dynamical and temporal characteristics, and the development of techniques that allow diagnostics and prognostics of the behavior of a real system on a digital twin. ;In the paper, we consider instrumentation and control systems (I&C systems) as cyberphysical systems (CPS) of the Industry 4.0 concept and, in particular, deal with the problem of the design of digital twins of CPS in application to I&C systems.
